retail_investments_grouped_by,date,category,subcategory,number_of_sales
Number of advised and non-advised sales by sector,Q1-2018,Retail Investments,Advised sale,304486
Number of advised and non-advised sales by sector,Q1-2021,Retail Investments,Advised sale,339519
Number of advised and non-advised sales by sector,Q2-2020,Retail Investments,Advised sale,202890
Number of advised and non-advised sales by sector,Q2-2021,Retail Investments,Advised sale,208403
Number of advised and non-advised sales by sector,Q2-2017,Retail Investments,Advised sale,296215
Number of advised and non-advised sales by sector,Q2-2019,Retail Investments,Advised sale,307037
Number of advised and non-advised sales by sector,Q2-2018,Retail Investments,Advised sale,312052
Number of advised and non-advised sales by sector,Q3-2020,Retail Investments,Advised sale,182200
Number of advised and non-advised sales by sector,Q3-2021,Retail Investments,Advised sale,214453
Number of advised and non-advised sales by sector,Q3-2019,Retail Investments,Advised sale,274173
Number of advised and non-advised sales by sector,Q3-2018,Retail Investments,Advised sale,294861
Number of advised and non-advised sales by sector,Q3-2017,Retail Investments,Advised sale,313368
Number of advised and non-advised sales by sector,Q4-2021,Retail Investments,Advised sale,224323
Number of advised and non-advised sales by sector,Q4-2020,Retail Investments,Advised sale,230012
Number of advised and non-advised sales by sector,Q4-2019,Retail Investments,Advised sale,285144
Number of advised and non-advised sales by sector,Q4-2018,Retail Investments,Advised sale,314731
Number of advised and non-advised sales by sector,Q4-2017,Retail Investments,Advised sale,319928
Number of advised and non-advised sales by sector,Q1-2019,Retail Investments,Non advised sale,154950
Number of advised and non-advised sales by sector,Q1-2018,Retail Investments,Non advised sale,187429
Number of advised and non-advised sales by sector,Q1-2017,Retail Investments,Non advised sale,192989
Number of advised and non-advised sales by sector,Q1-2020,Retail Investments,Non advised sale,198087
Number of advised and non-advised sales by sector,Q1-2021,Retail Investments,Non advised sale,259776
Number of advised and non-advised sales by sector,Q2-2019,Retail Investments,Non advised sale,151022
Number of advised and non-advised sales by sector,Q2-2020,Retail Investments,Non advised sale,182315
Number of advised and non-advised sales by sector,Q2-2018,Retail Investments,Non advised sale,198159
Number of advised and non-advised sales by sector,Q2-2017,Retail Investments,Non advised sale,209130
Number of advised and non-advised sales by sector,Q2-2021,Retail Investments,Non advised sale,210212
Number of advised and non-advised sales by sector,Q3-2020,Retail Investments,Non advised sale,153715
Number of advised and non-advised sales by sector,Q3-2018,Retail Investments,Non advised sale,161515
Number of advised and non-advised sales by sector,Q3-2017,Retail Investments,Non advised sale,181233
Number of advised and non-advised sales by sector,Q3-2019,Retail Investments,Non advised sale,190782
Number of advised and non-advised sales by sector,Q3-2021,Retail Investments,Non advised sale,211820
Number of advised and non-advised sales by sector,Q4-2018,Retail Investments,Non advised sale,174440
Number of advised and non-advised sales by sector,Q4-2020,Retail Investments,Non advised sale,196639
Number of advised and non-advised sales by sector,Q4-2017,Retail Investments,Non advised sale,215185
Number of advised and non-advised sales by sector,Q4-2019,Retail Investments,Non advised sale,222883
Number of advised and non-advised sales by sector,Q4-2021,Retail Investments,Non advised sale,258081
Number of advised and non-advised sales by sector,Q1-2021,Wholesale Financial Markets,Advised sale,2747
Number of advised and non-advised sales by sector,Q1-2019,Wholesale Financial Markets,Advised sale,2911
Number of advised and non-advised sales by sector,Q1-2020,Wholesale Financial Markets,Advised sale,3107
Number of advised and non-advised sales by sector,Q1-2017,Wholesale Financial Markets,Advised sale,4349
Number of advised and non-advised sales by sector,Q1-2018,Wholesale Financial Markets,Advised sale,4887
Number of advised and non-advised sales by sector,Q2-2020,Wholesale Financial Markets,Advised sale,1665
Number of advised and non-advised sales by sector,Q2-2021,Wholesale Financial Markets,Advised sale,2195
Number of advised and non-advised sales by sector,Q2-2019,Wholesale Financial Markets,Advised sale,3216
Number of advised and non-advised sales by sector,Q2-2018,Wholesale Financial Markets,Advised sale,3521
Number of advised and non-advised sales by sector,Q2-2017,Wholesale Financial Markets,Advised sale,3599
Number of advised and non-advised sales by sector,Q3-2020,Wholesale Financial Markets,Advised sale,1769
Number of advised and non-advised sales by sector,Q3-2018,Wholesale Financial Markets,Advised sale,2125
Number of advised and non-advised sales by sector,Q3-2019,Wholesale Financial Markets,Advised sale,2596
Number of advised and non-advised sales by sector,Q3-2021,Wholesale Financial Markets,Advised sale,3246
Number of advised and non-advised sales by sector,Q3-2017,Wholesale Financial Markets,Advised sale,3506
Number of advised and non-advised sales by sector,Q4-2019,Wholesale Financial Markets,Advised sale,1232
Number of advised and non-advised sales by sector,Q4-2020,Wholesale Financial Markets,Advised sale,1863
Number of advised and non-advised sales by sector,Q4-2018,Wholesale Financial Markets,Advised sale,2394
Number of advised and non-advised sales by sector,Q4-2021,Wholesale Financial Markets,Advised sale,2553
Number of advised and non-advised sales by sector,Q4-2017,Wholesale Financial Markets,Advised sale,3152
Number of advised and non-advised sales by sector,Q1-2019,Wholesale Financial Markets,Non advised sale,1915
Number of advised and non-advised sales by sector,Q1-2017,Wholesale Financial Markets,Non advised sale,2650
Number of advised and non-advised sales by sector,Q1-2018,Wholesale Financial Markets,Non advised sale,3099
Number of advised and non-advised sales by sector,Q1-2020,Wholesale Financial Markets,Non advised sale,4178
Number of advised and non-advised sales by sector,Q1-2021,Wholesale Financial Markets,Non advised sale,4826
Number of advised and non-advised sales by sector,Q2-2018,Wholesale Financial Markets,Non advised sale,2199
Number of advised and non-advised sales by sector,Q2-2017,Wholesale Financial Markets,Non advised sale,2755
Number of advised and non-advised sales by sector,Q2-2019,Wholesale Financial Markets,Non advised sale,2940
Number of advised and non-advised sales by sector,Q2-2020,Wholesale Financial Markets,Non advised sale,3347
Number of advised and non-advised sales by sector,Q2-2021,Wholesale Financial Markets,Non advised sale,4687
Number of advised and non-advised sales by sector,Q3-2018,Wholesale Financial Markets,Non advised sale,1682
Number of advised and non-advised sales by sector,Q3-2021,Wholesale Financial Markets,Non advised sale,2371
Number of advised and non-advised sales by sector,Q3-2017,Wholesale Financial Markets,Non advised sale,2567
Number of advised and non-advised sales by sector,Q3-2019,Wholesale Financial Markets,Non advised sale,3329
Number of advised and non-advised sales by sector,Q3-2020,Wholesale Financial Markets,Non advised sale,3561
Number of advised and non-advised sales by sector,Q4-2018,Wholesale Financial Markets,Non advised sale,1745
Number of advised and non-advised sales by sector,Q4-2017,Wholesale Financial Markets,Non advised sale,2319
Number of advised and non-advised sales by sector,Q4-2021,Wholesale Financial Markets,Non advised sale,2757
Number of advised and non-advised sales by sector,Q4-2019,Wholesale Financial Markets,Non advised sale,3179
Number of advised and non-advised sales by sector,Q4-2020,Wholesale Financial Markets,Non advised sale,4225
Number of sales by premium payment method type and product type,Q1-2019,Bonds,Regular Payment,3945
Number of sales by premium payment method type and product type,Q1-2017,Bonds,Regular Payment,4071
Number of sales by premium payment method type and product type,Q1-2018,Bonds,Regular Payment,4112
Number of sales by premium payment method type and product type,Q1-2020,Bonds,Regular Payment,4470
Number of sales by premium payment method type and product type,Q1-2021,Bonds,Regular Payment,7921
Number of sales by premium payment method type and product type,Q2-2017,Bonds,Regular Payment,5234
Number of sales by premium payment method type and product type,Q2-2018,Bonds,Regular Payment,5638
Number of sales by premium payment method type and product type,Q2-2020,Bonds,Regular Payment,5977
Number of sales by premium payment method type and product type,Q2-2019,Bonds,Regular Payment,6344
Number of sales by premium payment method type and product type,Q2-2021,Bonds,Regular Payment,6915
Number of sales by premium payment method type and product type,Q3-2017,Bonds,Regular Payment,3765
Number of sales by premium payment method type and product type,Q3-2018,Bonds,Regular Payment,4089
Number of sales by premium payment method type and product type,Q3-2019,Bonds,Regular Payment,4443
Number of sales by premium payment method type and product type,Q3-2021,Bonds,Regular Payment,5049
Number of sales by premium payment method type and product type,Q3-2020,Bonds,Regular Payment,6105
Number of sales by premium payment method type and product type,Q4-2018,Bonds,Regular Payment,3987
Number of sales by premium payment method type and product type,Q4-2017,Bonds,Regular Payment,4303
Number of sales by premium payment method type and product type,Q4-2019,Bonds,Regular Payment,4867
Number of sales by premium payment method type and product type,Q4-2021,Bonds,Regular Payment,5134
Number of sales by premium payment method type and product type,Q4-2020,Bonds,Regular Payment,5563
Number of sales by premium payment method type and product type,Q1-2020,Bonds,Single Payment,11052
Number of sales by premium payment method type and product type,Q1-2019,Bonds,Single Payment,11254
Number of sales by premium payment method type and product type,Q1-2021,Bonds,Single Payment,11281
Number of sales by premium payment method type and product type,Q1-2018,Bonds,Single Payment,12352
Number of sales by premium payment method type and product type,Q1-2017,Bonds,Single Payment,15781
Number of sales by premium payment method type and product type,Q2-2020,Bonds,Single Payment,7632
Number of sales by premium payment method type and product type,Q2-2021,Bonds,Single Payment,10169
Number of sales by premium payment method type and product type,Q2-2019,Bonds,Single Payment,11488
Number of sales by premium payment method type and product type,Q2-2018,Bonds,Single Payment,12823
Number of sales by premium payment method type and product type,Q2-2017,Bonds,Single Payment,15415
Number of sales by premium payment method type and product type,Q3-2020,Bonds,Single Payment,6261
Number of sales by premium payment method type and product type,Q3-2021,Bonds,Single Payment,9513
Number of sales by premium payment method type and product type,Q3-2019,Bonds,Single Payment,11544
Number of sales by premium payment method type and product type,Q3-2018,Bonds,Single Payment,12328
Number of sales by premium payment method type and product type,Q3-2017,Bonds,Single Payment,15515
Number of sales by premium payment method type and product type,Q4-2020,Bonds,Single Payment,7847
Number of sales by premium payment method type and product type,Q4-2021,Bonds,Single Payment,10621
Number of sales by premium payment method type and product type,Q4-2019,Bonds,Single Payment,10932
Number of sales by premium payment method type and product type,Q4-2018,Bonds,Single Payment,11748
Number of sales by premium payment method type and product type,Q4-2017,Bonds,Single Payment,16750
Number of sales by premium payment method type and product type,Q1-2018,Decumulation products,Regular Payment,595
